number,Filename,category,class,duration,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Energy 0,Energy 45,Energy 90,Energy 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Contrast 0,Contrast 45,Contrast 90,Contrast 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135
129,CAMERA 4_OZ/good_image_png/OZ_good_image1113.png,good,0,0.0470000000022992,1.6497002866826216,2.2815848539128534,1.734652795880954,2.2609711216973465,0.6489864618179689,0.647358960000772,0.6491628716557605,0.647371503942025,0.9213387339013144,0.9134039781012855,0.9212755057151385,0.9134342891602273,196.21598579623267,311.5077627611103,225.8608601081637,306.63118181650253,0.9928088030118214,0.9885859016845403,0.9917211694862684,0.9887645867158614
130,CAMERA 4_OZ/good_image_png/OZ_good_image1114.png,good,0,0.046999999998661224,1.6092316588483815,2.2225539536967265,1.6974770268507293,2.188439058473406,0.6510559108726288,0.6494677799221925,0.6512484558828141,0.6494550360394988,0.9249649765244687,0.9173534131429641,0.92418056277641,0.9173289765734878,193.16945286034658,305.9229520586648,222.20470134904136,298.46879038223864,0.9929983095995841,0.988913846545949,0.9919448620861019,0.989183973320223
131,CAMERA 4_OZ/good_image_png/OZ_good_image1115.png,good,0,0.030999999999039574,1.6357514008342873,2.2528826532069806,1.7228664298747107,2.222275125330289,0.6507701073898507,0.6491472854064866,0.6509086120889405,0.6491305609609115,0.9247517723248697,0.9168883310951816,0.9239148782589195,0.9168486954595214,197.7073665950337,311.5190373736234,227.50262073120962,305.4138179838031,0.9928367592348228,0.9887156305279607,0.9917561383271543,0.9889367841110124
132,CAMERA 4_OZ/good_image_png/OZ_good_image1116.png,good,0,0.0470000000022992,1.6262200286685515,2.2261151300263022,1.6678897288841081,2.2058633855146246,0.6516458761478702,0.6501271893620143,0.651928887113151,0.65008084709761,0.9254346955365792,0.9180546807322034,0.9249257684376582,0.9177992003834705,196.9116790461693,309.0998833323645,220.88864702813473,303.32930526898326,0.9928861490366485,0.9888355604342337,0.9920189123065233,0.9890439890798692
133,CAMERA 4_OZ/good_image_png/OZ_good_image1117.png,good,0,0.046999999998661224,1.6107310398752022,2.208041834038575,1.6685186392073728,2.216409946183024,0.6506199181587011,0.6490908844729232,0.6508359983271154,0.6490204771158565,0.9238364952928155,0.9163034211623832,0.9236036775804066,0.9161147811477988,193.61241366957012,305.3285633572466,220.0234814911189,304.5872369984277,0.9929719990703113,0.9889192013584022,0.9920122387294361,0.9889461051240355
134,CAMERA 4_OZ/good_image_png/OZ_good_image1118.png,good,0,0.0459999999984575,1.6707152397709868,2.2427200930081725,1.6920099061520815,2.2615809568380354,0.6524701049301456,0.6509997614815146,0.6527302952634538,0.6508633737346634,0.9252933145146969,0.9179733962696692,0.9251749360510146,0.9177360687543524,205.30845794244328,312.67890223154666,224.14784769288843,313.8663882187945,0.9925594490933245,0.988670749664267,0.991875617734199,0.98862772365284
135,CAMERA 4_OZ/good_image_png/OZ_good_image1119.png,good,0,0.0470000000022992,1.5782007427680984,2.2001131619219967,1.6494419642855649,2.143038136709227,0.6509213320944658,0.6494566522495001,0.6512000852049312,0.6493818901270022,0.9238224057515694,0.9164047998262576,0.9239855972038257,0.9165385985212068,187.00532316917892,302.8491913569976,216.602061880846,291.66196626179146,0.9931985971130444,0.9889876887554176,0.9921210748487637,0.9893944826588823
136,CAMERA 4_OZ/good_image_png/OZ_good_image112.png,good,0,0.046999999998661224,1.7014211949443214,2.2641564504335396,1.6698831790926432,2.2875764026413825,0.6530659989641345,0.6516107663397416,0.6533700446333013,0.6515186216094463,0.9247990142460005,0.9176130099870092,0.9248355437889189,0.917518735629102,217.7407667123218,322.58990135837735,225.37128111963503,326.3387960321852,0.9920772379180848,0.988264529944103,0.9917982696507247,0.9881281492297581
137,CAMERA 4_OZ/good_image_png/OZ_good_image1120.png,good,0,0.030999999999039574,1.6230363891063753,2.1889257851832693,1.6306944082376067,2.2084062676052776,0.6514382495740825,0.6499240671021753,0.6517108193404988,0.6498405007275838,0.9248014068785892,0.9173716945164703,0.9249118695544796,0.9172326331202442,198.2724727977963,303.4230445938088,214.77964676744818,305.12474878952486,0.9928014436604247,0.9889862305124365,0.9922010825472888,0.9889244613815737
138,CAMERA 4_OZ/good_image_png/OZ_good_image1121.png,good,0,0.030999999999039574,1.6259936148035494,2.2292865988729442,1.703594238790237,2.2238176495096456,0.6513783039694666,0.6498196720656194,0.6515927445985543,0.6497287846139235,0.9246658713111304,0.9170295601125963,0.9243955245921813,0.916962016768132,196.63132655724436,308.738388062256,225.20931308652624,306.00331495949064,0.9928555458753267,0.9887846469146988,0.9918160800770047,0.9888840022645643
