number,Filename,category,class,duration,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Energy 0,Energy 45,Energy 90,Energy 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Contrast 0,Contrast 45,Contrast 90,Contrast 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135
1177,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle815.png,good,0,0.031000000002677552,4.043265256206469,5.4469809245483045,4.030075574143428,5.363516330615114,0.6712201978550383,0.6687743099011662,0.6709688774355055,0.6687966059952709,0.8277954149853359,0.8142921955085709,0.8323680078774613,0.8139513104953526,507.32179772532993,783.336736718604,556.4416733925276,765.5919220226428,0.9759253718437272,0.962757017722315,0.973629243546555,0.963600677655859
1178,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle816.png,good,0,0.046999999998661224,4.177104072398221,5.499334919075745,4.090828380658939,5.511338221208666,0.7029316214286763,0.7005851957919103,0.7028479954087697,0.7003261510400077,0.8381116906048046,0.8260231576773819,0.8422747552818259,0.8253022468138594,531.7419371407626,796.1368229464026,567.604262968675,790.2469691662193,0.9725556846619303,0.9588306245751431,0.9707655316815647,0.9591351973501727
1179,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle817.png,good,0,0.046999999998661224,4.273863275039782,5.521710054112905,4.109709687675849,5.552482601336085,0.7022942176702096,0.7000861106453703,0.7022423648127948,0.6999035733633571,0.8372892718529091,0.8255462746750182,0.8413074331990339,0.8250364130986407,550.8401834413612,803.3889241366891,569.8786386871201,799.8970018690927,0.9716974725784612,0.9586436409297449,0.9707815864687379,0.9588233959485263
1180,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle818.png,good,0,0.0470000000022992,4.227176225999793,5.663819352752605,4.255809915131998,5.667366451015554,0.6963800605593516,0.6939089066908487,0.6961219966176021,0.6937644786731955,0.8366227678459575,0.8244222491524487,0.8406066452473986,0.8237323218200292,538.7486046227247,828.4858691738154,597.8520483283257,821.357157030145,0.9728160778507663,0.9581031747209924,0.9698821060917802,0.958463676231351
1181,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle819.png,good,0,0.046999999998661224,4.308489666136768,5.698447654579335,4.289554137011818,5.670717576998796,0.6895832971557367,0.6872984350642248,0.6895699193609766,0.6870973279284726,0.8371306681315341,0.8248380180769103,0.8404203095139361,0.824170671102384,555.19249602544,836.0728037019286,602.3089001394162,822.1176568574487,0.9727321527718479,0.9588498903267105,0.9704601662659106,0.959536739391307
1182,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle82.png,good,0,0.030999999999039574,3.933418124006384,5.25124136190945,3.7975860297894894,5.27344992050885,0.677717103972694,0.6753324951039731,0.6776067860880493,0.6753804891407733,0.8230318386374309,0.8100525021890442,0.827568995229498,0.8095196051085024,513.6701137336447,777.8044368124292,537.1306258713128,778.9985987982167,0.9760506047991989,0.9636732575660162,0.9749929448716925,0.9636174851728186
1183,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle820.png,good,0,0.03200000000288128,4.071043169866722,5.587390163661386,4.253082886981256,5.475323415502935,0.6931998869241582,0.690429792982547,0.6926008616312246,0.6906311480842687,0.8381917511092444,0.8249235780397078,0.8398140558869898,0.8247298216798101,507.85255717255825,805.050313433174,590.9510602392035,782.5906604510891,0.9743231106419049,0.9592044689736386,0.9701648136519997,0.9603426009074876
1184,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle821.png,good,0,0.046999999998661224,4.082409196526868,5.3880030669662275,4.08935603003406,5.477738773850493,0.6908020107377151,0.6884660223074617,0.6902660909285643,0.6881769568925538,0.8320232090226103,0.8195317282926629,0.8365726141590879,0.8192202591319386,519.3022551057848,780.1672231462965,570.6901240002989,791.8929746387469,0.9739047903145293,0.9607249988817399,0.9713781336851179,0.960134703763827
1185,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle822.png,good,0,0.0459999999984575,4.019285801638771,5.34557506840661,4.0535255704747755,5.436442515206281,0.6932827457720204,0.6910628525392142,0.6930407136980109,0.6908281592588088,0.8344337922424641,0.8216398144460941,0.8382067129506817,0.8210819421930498,500.02456891280735,771.750840843569,568.0394917700075,778.9399369459265,0.9748140617182038,0.9610419444582298,0.97143236625005,0.9606790382060799
1186,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle823.png,good,0,0.0470000000022992,4.226645468998443,5.668221380085826,4.296747132340406,5.513515963167042,0.7019833881495329,0.6994118417404022,0.7014693819505071,0.6996473673056811,0.8365178821781782,0.823628239514673,0.8395881263291223,0.8240585820932035,531.9472373731228,817.8511908990549,597.2067038423027,788.6069139020358,0.9719631279199734,0.9567951482350509,0.9685819844372419,0.9583400437694456
